Time(Minutes),EntityID,ObjectName,ProcessID,StepName,Action
0,--,--,--,--,System initialization completed.
0,--,--,--,--,Firing event 'Source1.EntityArrivals.Event'.
0,Source1,Source1,0.OnEntityArrival,[Begin],Process 'Source1.OnEntityArrival' started.
0,Source1,Source1,0.OnEntityArrival,[SetRow] BeforeCreatingEntities,Table reference for token 'Token.0' set to row index '2' in table 'CustData'.
0,Source1,Source1,0.OnEntityArrival,[Create] Entities,Creating '1' object(s) of entity type 'RegularCust' using creation method 'NewObject'.
0,--,--,--,--,Object 'RegularCust.15' created.
0,RegularCust.15,Source1,1.OnEntityArrival,[Transfer] ToProcessing,Entity 'RegularCust.15' transferring from '[FreeSpace] Source1' into station 'Source1.Processing'.
0,Source1,Source1,0.OnEntityArrival,[End],Process 'Source1.OnEntityArrival' ended.
0,RegularCust.15,Source1,2.OnEnteredProcessing,[Begin],Process 'Source1.OnEnteredProcessing' started.
0,RegularCust.15,Source1,2.OnEnteredProcessing,[EndTransfer] IntoProcessing,Entity 'RegularCust.15' ending transfer into station 'Source1.Processing'.
0,RegularCust.15,Source1,2.OnEnteredProcessing,[Transfer] ToOutputBuffer,Entity 'RegularCust.15' transferring from '[Station] Source1.Processing' into station 'Source1.OutputBuffer'.
0,RegularCust.15,Source1,1.OnEntityArrival,[End],Process 'Source1.OnEntityArrival' ended.
0,RegularCust.15,Source1,0.OnEnteredOutputBuffer,[Begin],Process 'Source1.OnEnteredOutputBuffer' started.
0,RegularCust.15,Source1,0.OnEnteredOutputBuffer,[EndTransfer] IntoOutputBuffer,Entity 'RegularCust.15' ending transfer into station 'Source1.OutputBuffer'.
0,RegularCust.15,Source1,0.OnEnteredOutputBuffer,[Transfer] ToOutputNode,Entity 'RegularCust.15' transferring from '[Station] Source1.OutputBuffer' into node 'Output@Source1'.
0,RegularCust.15,Output@Source1,1.OnEnteredFromAssociatedObject,[Begin],Process 'Output@Source1.OnEnteredFromAssociatedObject' started.
0,RegularCust.15,Output@Source1,1.OnEnteredFromAssociatedObject,[Fire] EnteredEvent,Firing event 'Output@Source1.Entered'.
0,RegularCust.15,Output@Source1,1.OnEnteredFromAssociatedObject,[Decide] IfTransporter,Token branching on condition 'Entity.Is.Transporter'.
0,RegularCust.15,Output@Source1,1.OnEnteredFromAssociatedObject,[Decide] IfTransporter,Token sent to 'False' exit.
0,RegularCust.15,Output@Source1,1.OnEnteredFromAssociatedObject,[Execute] RoutingOutLogic,Executing process 'Output@Source1.RoutingOutLogic'.
0,RegularCust.15,Output@Source1,3.RoutingOutLogic,[Begin],Process 'Output@Source1.RoutingOutLogic' started.
0,RegularCust.15,Output@Source1,3.RoutingOutLogic,[SetNode] NextDestination,Destination node of entity 'RegularCust.15' set to value 'Input@StandardCounter'.
0,RegularCust.15,Output@Source1,3.RoutingOutLogic,[End],Process 'Output@Source1.RoutingOutLogic' ended.
0,RegularCust.15,Output@Source1,1.OnEnteredFromAssociatedObject,[Transfer] ToOutboundLink,Entity 'RegularCust.15' could not find a followable travel path from starting location '[Node] Output@Source1' to destination location 'Input@StandardCounter' using assigned network 'Global'.
0,RegularCust.15,Output@Source1,1.OnEnteredFromAssociatedObject,[Transfer] ToOutboundLink,Entity 'RegularCust.15' failed to initiate transfer from '[Node] Output@Source1' to an outbound link.
0,RegularCust.15,Output@Source1,1.OnEnteredFromAssociatedObject,[Transfer] ToFreeSpace,Entity 'RegularCust.15' initiating transfer from '[Node] Output@Source1' into free space of facility 'Model'.
0,RegularCust.15,Output@Source1,3.OnExited,[Begin],Process 'Output@Source1.OnExited' started.
0,RegularCust.15,Output@Source1,3.OnExited,[Fire] ExitedEvent,Firing event 'Output@Source1.Exited'.
0,RegularCust.15,Output@Source1,3.OnExited,[End],Process 'Output@Source1.OnExited' ended.
0,RegularCust.15,RegularCust.15,4.OnEnteredFreeSpace,[Begin],Process 'RegularCust.15.OnEnteredFreeSpace' started.
0,RegularCust.15,RegularCust.15,4.OnEnteredFreeSpace,[Assign] OnEnteredFreeSpaceAssignments,Assigning state variable 'RegularCust.15.FreeSpaceSteeringToken.4.EnteredFreeSpaceFromNode' the value '1'.
0,RegularCust.15,RegularCust.15,4.OnEnteredFreeSpace,[Decide] IfDestinationNode,Token branching on condition 'DestinationNode != Nothing'.
0,RegularCust.15,RegularCust.15,4.OnEnteredFreeSpace,[Decide] IfDestinationNode,Token sent to 'True' exit.
0,RegularCust.15,RegularCust.15,4.OnEnteredFreeSpace,[Decide] IfDirectToDestination,"Token branching on condition 'Math.If(FreeSpaceSteeringBehavior == List.FreeSpaceSteeringBehaviorType.DirectToDestination || CurrentNetwork == Nothing || !FreeSpaceSteeringToken.EnteredFreeSpaceFromNode, True, !CurrentNetwork.PathExists(PreviousNode, DestinationNode))'."
0,RegularCust.15,RegularCust.15,4.OnEnteredFreeSpace,[Decide] IfDirectToDestination,Token sent to 'True' exit.
0,RegularCust.15,RegularCust.15,4.OnEnteredFreeSpace,[Travel] DirectToDestination,Entity 'RegularCust.15' initiating free space travel movement to coordinates 'X=4.5 Y=0 Z=6.75' Meters.
0,RegularCust.15,RegularCust.15,4.OnEnteredFreeSpace,[Travel] DirectToDestination,Entity 'RegularCust.15' setting movement rate to desired maximum travel rate '1609.344' Meters per Hour.
0,RegularCust.15,Source1,2.OnEnteredProcessing,[End],Process 'Source1.OnEnteredProcessing' ended.
0,RegularCust.15,Source1,0.OnEnteredOutputBuffer,[End],Process 'Source1.OnEnteredOutputBuffer' ended.
0,RegularCust.15,Output@Source1,1.OnEnteredFromAssociatedObject,[End],Process 'Output@Source1.OnEnteredFromAssociatedObject' ended.
0.215434195510585,RegularCust.15,RegularCust.15,4.OnEnteredFreeSpace,[Travel] DirectToDestination,Entity 'RegularCust.15' completed free space travel movement to coordinates 'X=4.5 Y=0 Z=6.75' Meters.
0.215434195510585,RegularCust.15,RegularCust.15,4.OnEnteredFreeSpace,[Travel] DirectToDestination,Entity 'RegularCust.15' setting movement rate to desired ending travel rate '0' Meters per Hour.
0.215434195510585,RegularCust.15,RegularCust.15,4.OnEnteredFreeSpace,[Transfer] ToDestinationNode,Entity 'RegularCust.15' transferring from '[FreeSpace] Model' into node 'Input@StandardCounter'.
0.215434195510585,RegularCust.15,Input@StandardCounter,1.OnEnteredToAssociatedObject,[Begin],Process 'Input@StandardCounter.OnEnteredToAssociatedObject' started.
0.215434195510585,RegularCust.15,Input@StandardCounter,1.OnEnteredToAssociatedObject,[Fire] EnteredEvent,Firing event 'Input@StandardCounter.Entered'.
0.215434195510585,RegularCust.15,Input@StandardCounter,1.OnEnteredToAssociatedObject,[Transfer] ToAssociatedObject,Entity 'RegularCust.15' transferring from '[Node] Input@StandardCounter' into object 'StandardCounter'.
0.215434195510585,RegularCust.15,Input@StandardCounter,1.OnEnteredToAssociatedObject,[Transfer] ToAssociatedObject,Entity 'RegularCust.15' transferring from '[Node] Input@StandardCounter' into station 'StandardCounter.InputBuffer'.
0.215434195510585,RegularCust.15,StandardCounter,0.OnEnteredInputBuffer,[Begin],Process 'StandardCounter.OnEnteredInputBuffer' started.
0.215434195510585,RegularCust.15,StandardCounter,0.OnEnteredInputBuffer,[EndTransfer] IntoInputBuffer,Entity 'RegularCust.15' ending transfer into station 'StandardCounter.InputBuffer'.
0.215434195510585,RegularCust.15,Input@StandardCounter,2.OnExited,[Begin],Process 'Input@StandardCounter.OnExited' started.
0.215434195510585,RegularCust.15,Input@StandardCounter,2.OnExited,[Fire] ExitedEvent,Firing event 'Input@StandardCounter.Exited'.
0.215434195510585,RegularCust.15,Input@StandardCounter,2.OnExited,[End],Process 'Input@StandardCounter.OnExited' ended.
0.215434195510585,RegularCust.15,StandardCounter,0.OnEnteredInputBuffer,[Seize] Server,Object 'RegularCust.15' checking availability to seize '1' resource(s) of resource type '[ParentObject] StandardCounter'.
0.215434195510585,RegularCust.15,StandardCounter,0.OnEnteredInputBuffer,[Seize] Server,Object 'RegularCust.15' found '1' currently available resource(s) of resource type '[ParentObject] StandardCounter'.
0.215434195510585,RegularCust.15,StandardCounter,0.OnEnteredInputBuffer,[Seize] Server,Object 'RegularCust.15' seized '1' capacity unit(s) of resource 'StandardCounter'.
0.215434195510585,RegularCust.15,StandardCounter,0.OnEnteredInputBuffer,[Seize] Server,Object 'RegularCust.15' completed seize of '1' resource(s) of resource type '[ParentObject] StandardCounter'.
0.215434195510585,RegularCust.15,StandardCounter,0.OnEnteredInputBuffer,[Transfer] ToProcessing,Entity 'RegularCust.15' transferring from '[Station] StandardCounter.InputBuffer' into station 'StandardCounter.Processing'.
0.215434195510585,RegularCust.15,RegularCust.15,4.OnEnteredFreeSpace,[End],Process 'RegularCust.15.OnEnteredFreeSpace' ended.
0.215434195510585,RegularCust.15,Input@StandardCounter,1.OnEnteredToAssociatedObject,[End],Process 'Input@StandardCounter.OnEnteredToAssociatedObject' ended.
0.215434195510585,RegularCust.15,StandardCounter,2.OnEnteredProcessing,[Begin],Process 'StandardCounter.OnEnteredProcessing' started.
0.215434195510585,RegularCust.15,StandardCounter,2.OnEnteredProcessing,[EndTransfer] IntoProcessing,Entity 'RegularCust.15' ending transfer into station 'StandardCounter.Processing'.
0.215434195510585,RegularCust.15,StandardCounter,2.OnEnteredProcessing,[Decide] IfProcessTypeSpecificTime,Token branching on condition 'ProcessType==Enum.TaskProcessType.SpecificTime'.
0.215434195510585,RegularCust.15,StandardCounter,2.OnEnteredProcessing,[Decide] IfProcessTypeSpecificTime,Token sent to 'True' exit.
0.215434195510585,RegularCust.15,StandardCounter,2.OnEnteredProcessing,[Delay] ProcessingTime,Delaying token for '5.90309893875383' Minutes until time '6.11853313426441' Minutes.
0.215434195510585,RegularCust.15,StandardCounter,0.OnEnteredInputBuffer,[End],Process 'StandardCounter.OnEnteredInputBuffer' ended.
3.14533465265979,--,--,--,--,Firing event 'Source1.EntityArrivals.Event'.
3.14533465265979,Source1,Source1,0.OnEntityArrival,[Begin],Process 'Source1.OnEntityArrival' started.
3.14533465265979,Source1,Source1,0.OnEntityArrival,[SetRow] BeforeCreatingEntities,Table reference for token 'Token.0' set to row index '2' in table 'CustData'.
3.14533465265979,Source1,Source1,0.OnEntityArrival,[Create] Entities,Creating '1' object(s) of entity type 'RegularCust' using creation method 'NewObject'.
3.14533465265979,--,--,--,--,Object 'RegularCust.16' created.
3.14533465265979,RegularCust.16,Source1,1.OnEntityArrival,[Transfer] ToProcessing,Entity 'RegularCust.16' transferring from '[FreeSpace] Source1' into station 'Source1.Processing'.
3.14533465265979,Source1,Source1,0.OnEntityArrival,[End],Process 'Source1.OnEntityArrival' ended.
3.14533465265979,RegularCust.16,Source1,3.OnEnteredProcessing,[Begin],Process 'Source1.OnEnteredProcessing' started.
3.14533465265979,RegularCust.16,Source1,3.OnEnteredProcessing,[EndTransfer] IntoProcessing,Entity 'RegularCust.16' ending transfer into station 'Source1.Processing'.
3.14533465265979,RegularCust.16,Source1,3.OnEnteredProcessing,[Transfer] ToOutputBuffer,Entity 'RegularCust.16' transferring from '[Station] Source1.Processing' into station 'Source1.OutputBuffer'.
3.14533465265979,RegularCust.16,Source1,1.OnEntityArrival,[End],Process 'Source1.OnEntityArrival' ended.
3.14533465265979,RegularCust.16,Source1,0.OnEnteredOutputBuffer,[Begin],Process 'Source1.OnEnteredOutputBuffer' started.
3.14533465265979,RegularCust.16,Source1,0.OnEnteredOutputBuffer,[EndTransfer] IntoOutputBuffer,Entity 'RegularCust.16' ending transfer into station 'Source1.OutputBuffer'.
3.14533465265979,RegularCust.16,Source1,0.OnEnteredOutputBuffer,[Transfer] ToOutputNode,Entity 'RegularCust.16' transferring from '[Station] Source1.OutputBuffer' into node 'Output@Source1'.
3.14533465265979,RegularCust.16,Output@Source1,1.OnEnteredFromAssociatedObject,[Begin],Process 'Output@Source1.OnEnteredFromAssociatedObject' started.
3.14533465265979,RegularCust.16,Output@Source1,1.OnEnteredFromAssociatedObject,[Fire] EnteredEvent,Firing event 'Output@Source1.Entered'.
3.14533465265979,RegularCust.16,Output@Source1,1.OnEnteredFromAssociatedObject,[Decide] IfTransporter,Token branching on condition 'Entity.Is.Transporter'.
3.14533465265979,RegularCust.16,Output@Source1,1.OnEnteredFromAssociatedObject,[Decide] IfTransporter,Token sent to 'False' exit.
3.14533465265979,RegularCust.16,Output@Source1,1.OnEnteredFromAssociatedObject,[Execute] RoutingOutLogic,Executing process 'Output@Source1.RoutingOutLogic'.
3.14533465265979,RegularCust.16,Output@Source1,5.RoutingOutLogic,[Begin],Process 'Output@Source1.RoutingOutLogic' started.
3.14533465265979,RegularCust.16,Output@Source1,5.RoutingOutLogic,[SetNode] NextDestination,Destination node of entity 'RegularCust.16' set to value 'Input@StandardCounter'.
3.14533465265979,RegularCust.16,Output@Source1,5.RoutingOutLogic,[End],Process 'Output@Source1.RoutingOutLogic' ended.
3.14533465265979,RegularCust.16,Output@Source1,1.OnEnteredFromAssociatedObject,[Transfer] ToOutboundLink,Entity 'RegularCust.16' could not find a followable travel path from starting location '[Node] Output@Source1' to destination location 'Input@StandardCounter' using assigned network 'Global'.
3.14533465265979,RegularCust.16,Output@Source1,1.OnEnteredFromAssociatedObject,[Transfer] ToOutboundLink,Entity 'RegularCust.16' failed to initiate transfer from '[Node] Output@Source1' to an outbound link.
3.14533465265979,RegularCust.16,Output@Source1,1.OnEnteredFromAssociatedObject,[Transfer] ToFreeSpace,Entity 'RegularCust.16' initiating transfer from '[Node] Output@Source1' into free space of facility 'Model'.
