STATE,YEAR,INCOME,PERC_BUSINESS_RETURN,UNEMP_COMP_PR,PERC_RE,AGI_PR
Florida,2014,Under 25k,23.13,95.29,3.51,12785.43416
Arkansas,2014,75k - 100k,17.3,202.32,40.92,87115.12531
Oregon,2013,200k+,23.16,143.12,92.18,417470.557
Alabama,2011,Under 25k,17.05,410.01,4.08,12894.89853
Texas,2010,100k - 200k,22.8,421.97,68.73,135415.9765
United States,2014,100k - 200k,19.2,216.44,70.11,135786.9077
Mississippi,2011,200k+,32,10.39,88.14,413298.0516
Georgia,2015,50k - 75k,17.82,90.44,39.76,61400.88796
Texas,2010,200k+,28.87,174.44,84.82,537232.7067
Arizona,2010,25k - 50k,11.12,570.84,25.32,35905.51337
Colorado,2011,100k - 200k,22.05,389.14,80.96,134618.6175
Oregon,2010,200k+,24.14,302.86,94.53,430898.1385
United States,2013,100k - 200k,19.27,329.31,72.62,135479.8506
Hawaii,2011,75k - 100k,17.55,704.09,51.03,86489.04626
California,2011,Under 25k,19.01,837.97,5.65,12810.47117
South Dakota,2010,25k - 50k,14.58,258.46,14.4,36803.18062
Maryland,2014,Under 25k,21.71,203.75,4.97,11818.40271
Missouri,2010,50k - 75k,16.28,683.69,44.26,61984.91039
Virginia,2014,25k - 50k,11.74,137.54,17.33,36372.72537
New Hampshire,2013,50k - 75k,16.16,379.02,38.08,61721.49062
Montana,2012,Under 25k,12.04,307.14,5.92,12048.65325
Utah,2015,25k - 50k,12.81,167.39,17.77,36344.69555
Mississippi,2013,Under 25k,18.36,260.3,2.51,13097.24503
New Hampshire,2015,25k - 50k,11.96,204.58,15.85,36479.905
Ohio,2013,Under 25k,12.28,237.11,3.52,12214.81299
Mississippi,2012,50k - 75k,16.37,214.17,33.71,61500.88599
Montana,2015,75k - 100k,19.45,241.55,49.38,87104.95028
Oklahoma,2013,75k - 100k,19.35,153.01,41.96,86685.94767
Louisiana,2010,200k+,32.24,29.44,84.49,502465.082
Alabama,2012,25k - 50k,12.67,228.49,18.04,35858.82844
Illinois,2010,Under 25k,15.39,873.64,6.57,12227.45705
Texas,2010,Under 25k,19.99,485.89,3.57,12832.44233
Minnesota,2012,Under 25k,11.69,312.87,5.64,11779.86589
Missouri,2010,25k - 50k,13.13,723.53,22.33,36111.20364
Delaware,2011,100k - 200k,16.99,470.23,81.23,138521.7806
Wisconsin,2012,75k - 100k,15.24,506,65.37,86527.8922
Pennsylvania,2014,100k - 200k,17.58,346.38,72.11,134989.0965
Massachusetts,2012,200k+,25.57,428.9,93.13,573640.02
Connecticut,2014,50k - 75k,13.61,472.74,44.15,61724.50009
North Dakota,2012,75k - 100k,17.39,202.05,25.11,87804.66694
West Virginia,2015,100k - 200k,16.17,154.92,56.77,134230.76
Colorado,2015,25k - 50k,13.79,231.03,14.3,36399.43406
Vermont,2014,200k+,26.07,26.42,92.74,450858.319
Louisiana,2013,75k - 100k,18.73,117.18,33.19,86616.82105
Rhode Island,2012,100k - 200k,19.5,804.19,85.27,133713.4791
Kentucky,2014,200k+,26.81,42.76,91.28,459270.1449
Connecticut,2014,200k+,25.42,194.82,93.13,642480.1056
Louisiana,2011,Under 25k,17.68,287.01,2.28,12646.75018
Washington,2010,Under 25k,11.06,927.15,7.18,12648.0545
Tennessee,2014,200k+,31.39,23.11,77.92,490785.5614
Rhode Island,2014,25k - 50k,10.24,492.4,17.46,36208.60233
Texas,2013,25k - 50k,14.38,317.3,11.42,36047.26584
Idaho,2012,Under 25k,13.02,433.09,5.94,12470.76345
Kansas,2010,25k - 50k,12.91,832.06,19.7,36291.82444
Rhode Island,2010,100k - 200k,20.51,1200.94,89.2,133350.7707
Nebraska,2015,25k - 50k,11.72,104.35,12,36272.61759
Iowa,2015,200k+,21.06,0,90.28,430630.3305
Louisiana,2012,100k - 200k,21.76,89.52,57.4,134410.963
Mississippi,2013,200k+,31.34,21.43,86.76,414135.6565
Oregon,2012,100k - 200k,19.36,482.71,84.47,133684.621
New York,2015,200k+,23.51,47.92,80.8,692211.8249
West Virginia,2010,50k - 75k,13.23,756.22,24.74,62523.76609
Hawaii,2010,100k - 200k,21.21,560.86,73.19,131888.7461
Michigan,2012,50k - 75k,14.76,590.1,39.4,61667.28884
Pennsylvania,2014,200k+,24.13,120.56,91.17,472893.994
Illinois,2013,50k - 75k,12.72,583.09,39.13,61594.79177
United States,2010,75k - 100k,17.35,873.8,61.76,86641.61281
Illinois,2015,100k - 200k,16.74,238.61,71.51,136466.4402
Florida,2015,100k - 200k,18.45,43.75,53.71,134890.6836
District Of Columbia,2011,Under 25k,21.97,717.24,5.14,12776.06099
Alabama,2012,75k - 100k,16.9,197.05,51.79,86624.27088
Illinois,2011,25k - 50k,11.47,995.7,22.43,36230.75987
Nebraska,2012,200k+,23.13,19.83,86.85,551707.6242
Maine,2014,75k - 100k,18.72,181.48,51.42,87085.41794
Georgia,2011,200k+,23.73,92.75,94.33,446311.8071
New Hampshire,2010,100k - 200k,20.24,626.82,80.15,136067.7373
New York,2014,25k - 50k,11.48,313.41,13.37,36338.86109
Iowa,2012,75k - 100k,17.56,334.41,52.25,87013.53378
California,2011,200k+,24.38,411.88,88.6,510696.9006
New York,2011,50k - 75k,13.06,605.74,36.69,61506.09017
New Mexico,2013,25k - 50k,11.11,362.52,14.79,35855.52661
Louisiana,2012,75k - 100k,19.07,147.5,36.31,86592.21947
Montana,2011,Under 25k,12.63,395.09,6.72,12052.07287
Ohio,2015,50k - 75k,13.46,221.91,31.33,61368.96795
Vermont,2014,75k - 100k,20.78,215.82,46.86,86924.49355
District Of Columbia,2015,25k - 50k,13.21,203.71,9.43,37077.47253
Missouri,2014,200k+,24.34,32.75,91.8,502940.5265
Indiana,2013,Under 25k,11.24,224.71,3.28,11800.25468
Kentucky,2015,25k - 50k,11.02,202.59,13.68,36061.83833
Tennessee,2014,Under 25k,17.68,104.99,2.76,12605.0839
Wisconsin,2011,50k - 75k,14.29,799.39,49.3,61728.90579
Kentucky,2012,200k+,27.66,82.94,91.88,472596.1709
New York,2013,75k - 100k,14.59,420.19,49.68,86610.17359
Alaska,2011,200k+,28.9,63.8,79.7,409889.9012
Texas,2014,Under 25k,20.98,121.38,2.37,12687.47903
Hawaii,2013,50k - 75k,15.19,504.77,29.77,61472.7862
South Carolina,2013,200k+,25.98,52.62,92.25,428458.0398
Vermont,2010,Under 25k,15.09,698.66,5.82,11776.00492
Indiana,2013,25k - 50k,10.32,317.19,13.74,36108.34551
District Of Columbia,2011,75k - 100k,15.04,180.42,46.06,86293.58832
Massachusetts,2012,25k - 50k,11.22,931.43,19.07,36531.83853
Ohio,2012,25k - 50k,10.53,421.59,18.48,36332.17577
South Carolina,2010,50k - 75k,16.34,687.81,49.27,61502.4395
North Carolina,2010,75k - 100k,18.77,962.37,71.66,86519.51085
Alabama,2014,100k - 200k,19.04,69.05,66.55,134405.3002
North Dakota,2014,50k - 75k,14.93,219.9,14.19,62038.57643
Iowa,2013,25k - 50k,12.08,436.39,17.17,36347.66289
Colorado,2011,200k+,26.04,118.09,92.39,480954.1895
Washington,2015,100k - 200k,17.05,273.85,62.89,136165.071
Arkansas,2015,50k - 75k,15.9,223.81,25,61501.3276
Oklahoma,2011,50k - 75k,17.68,292.54,33.66,61671.26963
Mississippi,2012,100k - 200k,21.49,116.54,70.1,134262.3969
Michigan,2015,Under 25k,14.15,122.25,3.88,11682.33888
Florida,2015,50k - 75k,15.03,69.57,26.7,61332.41878
Illinois,2014,100k - 200k,16.69,276.11,74.92,136236.2803
New Jersey,2015,25k - 50k,11.38,471.53,18.74,36444.37338
Nevada,2010,Under 25k,14.07,1260.53,6.26,13538.75113
Mississippi,2015,25k - 50k,13.55,92,12.62,35596.1794
New Hampshire,2014,75k - 100k,17.59,266.25,48.63,86826.5548
Indiana,2014,100k - 200k,17.45,110.28,67.46,133261.9269
New Hampshire,2013,25k - 50k,12.59,349.76,18.81,36393.35148
Alaska,2013,50k - 75k,15.92,671.21,25.36,61708.04128
Nevada,2015,75k - 100k,14.9,280.84,39.96,86479.89831
Wyoming,2012,100k - 200k,20.3,156.99,51.12,134921.8498
Indiana,2015,50k - 75k,13.83,135.49,26.13,61593.15051
Michigan,2014,25k - 50k,11.94,299.47,15.54,36192.28675
South Dakota,2013,25k - 50k,12.91,124.84,10.13,36082.25382
South Carolina,2012,75k - 100k,17.4,281.59,61.4,86520.17902
Missouri,2010,75k - 100k,17.65,554.03,63.86,86981.79445
Minnesota,2012,200k+,21.85,105.99,94.19,510068.0112
New Jersey,2013,Under 25k,13.88,585.96,7.59,11886.27311
Georgia,2012,75k - 100k,18.65,307.09,66,86505.49985
North Dakota,2011,100k - 200k,20.64,131.41,46.22,134799.0175
Kansas,2014,25k - 50k,11.75,208.32,12.13,36258.61065
New Hampshire,2014,25k - 50k,12.18,244.33,16.74,36431.98246
Oregon,2013,25k - 50k,12.64,667.44,21.65,36149.62032
Kansas,2010,200k+,26.84,176.69,94.61,500735.6765
Idaho,2013,100k - 200k,21.25,205.78,76.41,133526.2461
North Carolina,2010,50k - 75k,17.07,1122.61,52.61,61511.23414
Utah,2010,50k - 75k,17.76,627.43,61.22,61674.57747
Arkansas,2015,75k - 100k,17.34,179.42,37.7,87015.35272
Virginia,2011,100k - 200k,17.92,171.91,82.9,136671.7914
Alaska,2012,100k - 200k,21.65,377.36,56.68,134638.4752
Maryland,2014,50k - 75k,14.57,200.23,44.46,61606.60453
Tennessee,2010,50k - 75k,17.42,588.69,36.51,61508.16666
Idaho,2011,Under 25k,13.32,625.68,6.84,12391.29553
Massachusetts,2013,25k - 50k,11.23,737.52,17.35,36571.3494
Indiana,2014,50k - 75k,13.93,188.25,27.52,61602.20486
Maine,2013,Under 25k,14.54,327.98,4.54,12268.9898
New Hampshire,2013,100k - 200k,19.6,314.07,72.23,135789.8896
South Dakota,2011,Under 25k,9.98,428.85,3.2,12144.64748
Washington,2011,Under 25k,11.19,741.51,6.64,12572.12045
California,2012,100k - 200k,20.56,625.56,74.08,136656.7514
Oregon,2013,75k - 100k,17.02,530.07,65.57,86588.54833
Pennsylvania,2012,100k - 200k,17.85,642.03,77.11,134524.0804
Washington,2011,75k - 100k,15.64,865.57,58.75,86631.69441
Illinois,2012,75k - 100k,14.75,631.95,59.73,86625.3899
Washington,2011,25k - 50k,10.89,1138.08,21.11,36272.18508
Maryland,2010,75k - 100k,17.29,463.9,72.47,86709.46745
Tennessee,2014,100k - 200k,22.23,78.83,55.29,134260.7817
West Virginia,2015,200k+,24.67,9.34,86.64,414934.0433
Oregon,2014,25k - 50k,12.46,380.99,19.47,36149.71284
Alaska,2014,200k+,26.86,54.62,68.52,398591.9548
Missouri,2014,75k - 100k,16.5,155.16,46.18,86888.50615
Alabama,2012,Under 25k,16.92,300.33,3.68,12938.90003
Indiana,2014,Under 25k,11.5,98.18,2.97,11811.68639
Oklahoma,2012,Under 25k,14.19,276.55,3.44,12638.03082
United States,2011,25k - 50k,12.38,750.62,19.71,36109.37738
Minnesota,2014,100k - 200k,18.62,260.96,81.11,135351.039
Illinois,2010,25k - 50k,11.6,1461.04,23.38,36189.7095
Alabama,2011,100k - 200k,19.26,163.96,75.63,132831.0113
Washington,2014,200k+,21.58,139.58,80.84,463945.9793
Kentucky,2015,100k - 200k,18.87,117.86,75.61,134088.3144
Florida,2015,200k+,22.54,2.05,75.32,639345.2499
Oregon,2011,100k - 200k,19.85,574.59,86.84,132730.7946
Arkansas,2010,75k - 100k,18.05,539.48,54.86,86950.27543
Nebraska,2015,200k+,21.6,0,89.85,472242.6987
North Dakota,2012,50k - 75k,16.28,287.5,17.85,62228.54358
West Virginia,2014,75k - 100k,13,287.84,28.61,87234.75428
California,2012,200k+,24.29,361.43,87.52,575722.3022
Nevada,2013,50k - 75k,12.62,530.73,31.31,61510.11249
South Carolina,2010,100k - 200k,19.57,399.41,85.36,133286.3478
Hawaii,2010,25k - 50k,11.37,1078.6,15.94,36181.46909
New Hampshire,2010,25k - 50k,13.31,879.48,24,36451.33221
Nebraska,2013,Under 25k,11.29,149.87,3.42,12215.65564
Pennsylvania,2011,50k - 75k,13.4,1136.38,39.63,61616.06723
Minnesota,2010,Under 25k,12.04,707.06,6.98,11886.08769
South Carolina,2015,75k - 100k,17.06,77.55,51.51,86681.67961
Connecticut,2012,200k+,25.62,352.35,93.68,707920.5686
Iowa,2014,50k - 75k,15.95,320.54,31.53,61712.70834
Minnesota,2013,100k - 200k,18.5,321.8,83.31,135233.78
Texas,2010,75k - 100k,20.12,542.85,49.77,86660.65236
Pennsylvania,2010,Under 25k,10.26,941.8,4.87,11770.00167
Kentucky,2011,75k - 100k,16.94,564.61,62.07,86282.99424
Maryland,2012,25k - 50k,12.64,502.17,22.5,36474.50893
North Carolina,2013,75k - 100k,18.15,291.33,60.32,86522.92841
Hawaii,2012,75k - 100k,17.6,600.2,48.48,86575.01055
Oklahoma,2012,100k - 200k,22.65,128.51,69.19,134881.7424
Kansas,2011,50k - 75k,17.24,522.21,38.63,62025.20567
Virginia,2014,100k - 200k,17.89,91.77,77.88,137761.0131
Massachusetts,2014,50k - 75k,13.55,538.34,35.93,61577.30619
Wisconsin,2013,50k - 75k,13.87,495.87,41.45,61653.27896
Virginia,2013,25k - 50k,11.49,215.74,19.01,36340.43099
North Dakota,2013,50k - 75k,15.56,300.72,15.88,62038.35278
Mississippi,2013,25k - 50k,12.85,172.27,14.32,35545.33087
Iowa,2012,25k - 50k,12.57,505.64,19.38,36320.2866
Delaware,2010,Under 25k,9.8,793.42,5.65,12665.00975
Michigan,2015,25k - 50k,11.91,250.21,14.66,36188.75902
Alaska,2013,200k+,27.25,64.58,71.19,397361.9156
Indiana,2014,75k - 100k,15.77,169.9,40.93,86526.64662
Missouri,2012,25k - 50k,12.62,394.39,18.39,36029.32125
Tennessee,2015,25k - 50k,13.14,90.35,10.71,35966.68166
Florida,2015,25k - 50k,14.75,69.17,12.16,35842.14051
Arizona,2013,75k - 100k,16.28,154.74,51.52,86552.55443
New York,2014,200k+,23.96,103.24,81.16,705269.2088
Kentucky,2011,Under 25k,13.81,591.89,4.47,12351.71569
Missouri,2011,50k - 75k,16.23,482.18,41.34,61695.74373
Missouri,2014,100k - 200k,18.38,107.7,72.98,134788.3105
Vermont,2012,75k - 100k,21.35,297.98,54.25,87067.69418
Nevada,2011,50k - 75k,12.51,982.09,38.04,61388.6972
Michigan,2010,25k - 50k,12.57,1485.55,24.91,36185.64318
Iowa,2010,100k - 200k,19.38,299.61,81.96,136337.6239
New Hampshire,2013,75k - 100k,18.18,378.99,51.88,86715.5796
Hawaii,2011,100k - 200k,20.76,464.84,69.35,132168.9787
Tennessee,2014,75k - 100k,18.72,108.46,35.44,86522.46183
Arkansas,2012,75k - 100k,17.43,360.66,47.9,87032.00978
District Of Columbia,2013,100k - 200k,19.27,117.53,63.59,137911.1475
West Virginia,2010,200k+,31.86,87.65,90.55,447875.7631
Kansas,2015,100k - 200k,20.88,96.38,67.14,135738.6604
District Of Columbia,2015,50k - 75k,13.36,100.28,20.99,61378.04413
Michigan,2013,25k - 50k,11.97,489.12,17.42,36182.3142
North Dakota,2010,Under 25k,9.75,197.12,2.92,12497.05698
Kentucky,2011,50k - 75k,15.46,693.06,42.53,61732.1341
United States,2011,100k - 200k,19.65,492.36,77.78,134364.8022
Montana,2010,Under 25k,12.78,541.2,7.16,12101.86837
Tennessee,2010,100k - 200k,22.67,320.17,68.9,134435.4765
Nebraska,2015,100k - 200k,18.05,35.37,71.74,136222.4703
Maine,2013,75k - 100k,19.22,261.31,55.11,86861.14301
New Jersey,2012,100k - 200k,18.22,1080.81,82.93,137232.6219
Oregon,2012,75k - 100k,17.44,698.94,68.92,86473.76032
California,2010,75k - 100k,18.07,1175.75,61.39,86542.4893
Arkansas,2015,25k - 50k,12.57,224.21,10.41,35928.24282
Arizona,2011,25k - 50k,10.93,446.67,22.09,35912.1132
Kentucky,2014,100k - 200k,18.98,151.45,76.25,133751.1085
Virginia,2011,75k - 100k,15.25,226.88,63.6,86686.45565
New Jersey,2011,100k - 200k,18.35,1250.21,84.56,136875.3226
Oklahoma,2014,50k - 75k,16.69,132.93,25.39,61531.52831
Oklahoma,2010,25k - 50k,13.91,575.04,17.25,35987.78447
Tennessee,2015,75k - 100k,18.8,79.25,33.21,86539.53794
Vermont,2011,100k - 200k,23.24,156.88,83.49,134254.9722
Nevada,2014,25k - 50k,10.49,311.43,12.96,35790.56764
Nebraska,2011,100k - 200k,19.34,101.08,79.85,132995.6768
District Of Columbia,2010,100k - 200k,19.77,217.45,69.93,137399.2081
Maine,2012,75k - 100k,19.03,307.92,59.93,86933.72712
Arizona,2015,75k - 100k,16.41,88.93,47.7,86605.55888
New Mexico,2015,Under 25k,12.99,155.46,3.07,12430.33571
Georgia,2015,25k - 50k,17.25,99.68,17.67,35876.41752
Colorado,2011,75k - 100k,19.99,583.78,64.25,86565.4815
Alabama,2013,75k - 100k,16.76,152.7,47.11,86652.63577
