STATE,YEAR,PERC_BUSINESS_RETURN,UNEMP_COMP_PR,PERC_RE,AGI_PR
alaska,2010,13.87,772.98,25.17,60508.92945
alabama,2010,16.08,465.27,24.61,48124.05057
arkansas,2010,15.63,628.18,21.08,47279.84263
arizona,2010,14.39,600.84,32.03,53815.48725
california,2010,17.58,1147.51,30.64,65297.00743
colorado,2010,16.87,813.26,35.84,63049.35272
connecticut,2010,14.99,1255.62,41.23,87009.69925
district of columbia,2010,16.62,511.75,27.48,77269.15693
delaware,2010,11.61,763.64,32.93,56402.79653
florida,2010,16.47,659.46,22.8,52735.20687
georgia,2010,18.49,610.61,30.58,50383.16012
hawaii,2010,14.32,764.88,25.8,53962.37423
iowa,2010,14.79,682.87,30,53254.02346
idaho,2010,16.39,900.33,31.01,47902.2546
illinois,2010,14.72,1058.59,32.1,62000.99242
indiana,2010,12.85,898.35,25.56,49353.98337
kansas,2010,14.5,657.84,28.98,55644.42079
kentucky,2010,14.48,812.17,27.05,48180.26992
louisiana,2010,17.51,318.91,17.98,51377.25017
massachusetts,2010,14.73,1238.94,36.72,74972.55614
maryland,2010,16.27,536.66,41.02,69583.41652
maine,2010,17.08,631.46,30.08,49337.33693
michigan,2010,14.59,1165.78,29.89,51166.24622
minnesota,2010,14.8,910.77,37.7,61414.91953
missouri,2010,14.69,634.3,28.58,52101.93371
mississippi,2010,16.46,415.41,19.7,42882.02831
montana,2010,16.45,648.4,28.81,48228.80822
north carolina,2010,15.77,937.33,31.8,51239.67605
north dakota,2010,14.34,302.45,17.59,57255.89612
nebraska,2010,14.64,348.77,28.2,54940.93043
new hampshire,2010,15.37,722.57,34.91,63823.30686
new jersey,2010,13.9,1601.47,39.48,74266.95661
new mexico,2010,13.91,708.06,24.35,47534.87371
nevada,2010,13.29,1228.49,26.71,56853.4024
new york,2010,16.6,844.6,27.5,69798.3867
ohio,2010,13.46,775.08,28.69,50420.57822
oklahoma,2010,16.34,506.77,23.58,51307.71959
oregon,2010,14.98,1263.11,36.5,53008.47908
pennsylvania,2010,12.45,1252.84,28.83,57024.15591
rhode island,2010,13.58,1390.75,34.25,57130.74261
south carolina,2010,14.62,712.7,27.82,47287.35865
south dakota,2010,15.23,210.05,18.26,52793.18571
tennessee,2010,17.08,597.51,21.92,49289.96786
texas,2010,18.87,532.07,22.63,58099.19273
utah,2010,15.19,581.74,36.79,54525.99807
virginia,2010,14.13,388.41,36.56,67218.34406
vermont,2010,18.05,702.72,29.25,51286.60023
washington,2010,13.26,1188.61,33.8,62730.2999
wisconsin,2010,12.32,1003.87,34.85,54153.20051
west virginia,2010,11.8,645.9,17.01,46595.64385
wyoming,2010,15.05,555.12,23.11,62285.86074
alaska,2011,14.94,840.95,22.51,59608.77893
alabama,2011,16.28,338.91,24.01,48898.07261
arkansas,2011,15.71,445.98,20.76,48334.9324
arizona,2011,14.4,435.32,28.93,53594.52681
california,2011,17.73,879.47,29.33,66088.00303
colorado,2011,16.9,621.67,34.03,64315.93714
connecticut,2011,14.99,962.43,40.11,85666.49087
district of columbia,2011,17.34,440.77,26.49,78166.25828
delaware,2011,11.52,587.37,31.73,57733.42292
florida,2011,16.52,562.74,20.9,53470.96406
georgia,2011,18.53,443.74,29.04,50978.92411
hawaii,2011,14.41,621.66,24.56,54093.10842
iowa,2011,14.58,486.31,29.18,54285.11742
idaho,2011,16.31,644.52,29.6,48914.16686
illinois,2011,14.8,748.67,31.94,62848.01015
indiana,2011,12.87,580.19,24.48,50139.33712
kansas,2011,14.4,448.16,28.1,55990.75353
kentucky,2011,14.55,601.2,26.26,48319.40414
louisiana,2011,17.27,251.73,17.14,50284.00392
massachusetts,2011,14.7,911.28,35.7,76159.89822
maryland,2011,16.3,449.91,39.64,70281.01948
maine,2011,16.97,498.35,29.26,49570.32169
michigan,2011,14.55,712.17,28.08,51715.7375
minnesota,2011,14.68,598.49,36.32,62287.91234
missouri,2011,14.64,455.68,27.31,52307.75273
mississippi,2011,16.51,319.16,19.06,42382.64591
montana,2011,16.41,460.57,27.84,48575.64469
north carolina,2011,15.79,662.22,30.43,51712.32443
north dakota,2011,14.34,238.72,17.37,61437.71208
nebraska,2011,14.56,265.87,27.35,54767.82948
new hampshire,2011,15.1,462.51,33.41,63197.65801
new jersey,2011,13.98,1271.84,38.36,75366.28879
new mexico,2011,14.14,556.94,22.67,47529.14415
