"STATE","RETURNSCOUNT","NUM_BUS_INCOME","PERC_BUSINESS_RETURN"
"AK",717480,109280,0.152310865808106
"AL",4055820,668260,0.164765694730042
"AR",2424050,382150,0.157649388420206
"AZ",5715550,871190,0.152424526073606
"CA",34945470,6494050,0.185833814797741
"CO",5157150,892190,0.173000591411923
"CT",3479350,545420,0.156759164786526
"DC",680890,119080,0.174888748549692
"DE",896250,108190,0.120714086471409
"FL",18897280,3667390,0.194069728553527
"GA",8758810,1831750,0.209132290802061
"HI",1353270,204500,0.151115446289358
"IA",2871880,396540,0.13807679986629
"ID",1416550,224980,0.158822491263986
"IL",12178890,1839230,0.151017867802402
"IN",6138500,787300,0.128256088620999
"KS",2642210,380290,0.143928756609051
"KY",3770310,534520,0.141770835819866
"LA",3939890,725550,0.184154887573003
"MA",6717870,1007930,0.150037139748164
"MD",5866480,1090610,0.185905346988313
"ME",1274390,210320,0.165035821059487
"MI",9310520,1348810,0.144869459493133
"MN",5389900,760210,0.141043433087812
"MO",5496860,782300,0.142317614056025
"MS",2456570,441070,0.179547092083678
"MT",976410,152730,0.156419946538851
"NC",8798100,1453860,0.165247041974972
"ND",728040,94560,0.129882973462997
"NE",1773700,246140,0.138772058408976
"NH",1370360,202430,0.147720307072594
"NJ",8665760,1298030,0.149788362474844
"NM",1803020,248090,0.1375969207219
"NV",2655860,390950,0.147202789303653
"NY",18987880,3152390,0.166021167186647
"OH",11070550,1480650,0.133746742483436
"OK",3236090,529230,0.163539950990238
"OR",3688490,542420,0.147057467961144
"PA",12260970,1560480,0.127272148940908
"RI",1043410,145150,0.139111183523255
"SC",4282460,663150,0.154852584729338
"SD",816810,115620,0.141550666617696
"TN",5861620,1017750,0.173629474445631
"TX",23987320,4671750,0.194759147749728
"UT",2495930,376470,0.150833557030846
"VA",7738420,1168600,0.151012739034583
"VT",641150,109550,0.17086485221867
"WA",6772330,891960,0.13170651755009
"WI",5609740,672740,0.119923561519785
"WV",1544800,167650,0.108525375453133
"WY",547760,81060,0.147984518767343
