"STATE","RETURNSCOUNT","NUM_BUS_INCOME","PERC_BUSINESS_RETURN"
"AK",717480,109280,15.23
"AL",4055820,668260,16.48
"AR",2424050,382150,15.76
"AZ",5715550,871190,15.24
"CA",34945470,6494050,18.58
"CO",5157150,892190,17.3
"CT",3479350,545420,15.68
"DC",680890,119080,17.49
"DE",896250,108190,12.07
"FL",18897280,3667390,19.41
"GA",8758810,1831750,20.91
"HI",1353270,204500,15.11
"IA",2871880,396540,13.81
"ID",1416550,224980,15.88
"IL",12178890,1839230,15.1
"IN",6138500,787300,12.83
"KS",2642210,380290,14.39
"KY",3770310,534520,14.18
"LA",3939890,725550,18.42
"MA",6717870,1007930,15
"MD",5866480,1090610,18.59
"ME",1274390,210320,16.5
"MI",9310520,1348810,14.49
"MN",5389900,760210,14.1
"MO",5496860,782300,14.23
"MS",2456570,441070,17.95
"MT",976410,152730,15.64
"NC",8798100,1453860,16.52
"ND",728040,94560,12.99
"NE",1773700,246140,13.88
"NH",1370360,202430,14.77
"NJ",8665760,1298030,14.98
"NM",1803020,248090,13.76
"NV",2655860,390950,14.72
"NY",18987880,3152390,16.6
"OH",11070550,1480650,13.37
"OK",3236090,529230,16.35
"OR",3688490,542420,14.71
"PA",12260970,1560480,12.73
"RI",1043410,145150,13.91
"SC",4282460,663150,15.49
"SD",816810,115620,14.16
"TN",5861620,1017750,17.36
"TX",23987320,4671750,19.48
"UT",2495930,376470,15.08
"VA",7738420,1168600,15.1
"VT",641150,109550,17.09
"WA",6772330,891960,13.17
"WI",5609740,672740,11.99
"WV",1544800,167650,10.85
"WY",547760,81060,14.8
